ANOMES;IDENTIFICACION;NOMBRE;COL03;VIAJES;VIAJESFLOTAPROPIA;VALORPACTADO;TONELADAS;GALONES;COL09;COL10
202401 a 202412;8001974562;FRIMAC S.A.; ;298,758;26,263;   231,647,589,057;         2,439,268;0; ; 
202401 a 202412;9007432239;LTSA - LOGISTICA TRANSPORTES Y SERVICIOS ASOCIADOS S.A.S; ;199,072;33,837;    81,597,957,555;         1,061,331;1,383; ; 
202401 a 202412;8600681216;DESPACHADORA INTERNACIONAL COLOMBIANA S.A.S.; ;176,93;7;   147,979,990,293;         1,419,441;0; ; 
202401 a 202412;8000422102;TRANSPORTES VIGIA S.A.S; ;171,176;114,9;   131,606,069,143;         1,383,467;        45,903,165; ; 
202401 a 202412;8600405761;COLTANQUES S.A.S.; ;170,436;103,302;   178,469,548,863;         2,851,519;       248,468,884; ; 
202401 a 202412;8000989433;TRANSPORTES AGUILA LTDA.; ;169,051;0;   312,876,852,239;         1,609,228;         6,632,486; ; 
202401 a 202412;9016235289;GRUPO OPERATIVO LOGISTICA Y TRANSPORTE S.A.S. GRUPO GOLTI SAS ; ;164,028;0;   262,661,044,811;         1,255,650;         1,137,065; ; 
202401 a 202412;8110052760;LOGISTICA DE TRANSPORTE S.A.; ;162,431;0;   193,585,108,635;         3,786,785;0; ; 
202401 a 202412;8605123303;SERVIENTREGA S.A.; ;158,789;50,613;    53,508,653,468;513,533;0; ; 
202401 a 202412;9000684261;OPL CARGA S.A.S.; ;147,782;5,364;   330,148,454,924;         2,470,239;       100,668,184; ; 
202401 a 202412;8605048823;TRANSPORTES Y SERVICIOS TRANSER S.A.S; ;128,251;79,953;   117,738,874,693;         3,961,207;0; ; 
202401 a 202412;9001424481;TRANSPORTES TEV S.A.; ;121,42;30,959;   186,967,746,935;         3,461,396;0; ; 
202401 a 202412;8001853791;IMBOCAR S.A.; ;112,745;11,683;    31,054,948,710;269,904;0; ; 
202401 a 202412;8909013215;EDUARDO BOTERO SOTO Y CIA LTDA; ;108,335;0;   266,523,672,211;         1,601,827;0; ; 
202401 a 202412;8600168195;SERCARGA S.A.S; ;99,017;59,797;    55,299,674,025;435,006;0; ; 
202401 a 202412;8600537463;NUEVA SOCIEDAD DE TRANSPORTADORES COLOMBIANOS LTDA.; ;97,913;0;   172,317,185,152;750,299;         4,199,114; ; 
202401 a 202412;9005598437;LIFTIT CARGO S.A.S; ;84,231;0;    36,505,132,761;163,466;0; ; 
202401 a 202412;8110461206;TRANSGRANELES S.A.S; ;83,469;0;   180,601,303,872;         1,656,405;0; ; 
202401 a 202412;9005033252;TRACTOCAR LOGISTICS S.A.S.; ;82,476;14;   106,690,486,857;572,769;0; ; 
202401 a 202412;8600787802;IMPOCOMA S.A.S.; ;82,133;5,063;   212,161,999,765;         1,765,738;224,405; ; 
202401 a 202412;8600171067;SOCIEDAD LAMKARGA S.A.S; ;78,254;10;   139,575,649,381;705,887;484,457; ; 
202401 a 202412;8300514407;EXXE LOGISTICA S.A.; ;73,128;27,998;    34,713,883,244;258,458;0; ; 
202401 a 202412;8909090011;EMPRESA DE DISTRIBUCIONES INDUSTRIALES S.A.; ;71,844;71,824;        47,977,410;         1,931,470;632,396; ; 
202401 a 202412;8040104184;RANSA CARGO S.A.S ; ;69,047;681;    40,360,191,394;184,249;0; ; 
202401 a 202412;8301247785;QUICK HELP S.A.S. ; ;68,697;0;    55,231,578,555;177,812;0; ; 
202401 a 202412;8110239528;SUPPLA CARGO S.A.S.; ;67,621;0;    31,444,623,094;86,796;0; ; 
202401 a 202412;8909350858;TRANSPORTADORA DE CARGA S.A.S; ;65,061;313;    35,945,339,447;         1,686,353;0; ; 
202401 a 202412;9007435921;OPPERAR COLOMBIA S.A.S.; ;64,66;52,808;     8,071,513,321;228;21,814; ; 
202401 a 202412;8300780007;CEMEX TRANSPORTES DE COLOMBIA S.A; ;62,024;19;   148,981,192,456;         1,686,920;147,815; ; 
202401 a 202412;8600166404;TCC S.A.S; ;62,014;61,613;       406,875,794;176,7;1,124; ; 
202401 a 202412;9009066343;LOGISTICA DE CARGA ESPECIALIZADA MULTIMODAL S.A.S. ; ;61,967;0;   148,832,110,425;         2,230,136;0; ; 
202401 a 202412;8603509401;OPERACIONES NACIONALES DE MERCADEO LTDA; ;61,172;23,695;    26,682,399,223;361,691;0; ; 
202401 a 202412;9006814965;FUERZA LOGISTICA DE DISTRIBUCION S.A.S.; ;60,787;15,636;    19,400,401,013;103,377;0; ; 
202401 a 202412;8002463028;TANQUES Y CAMIONES S.A.S; ;59,21;2,351;    66,072,244,739;373,359;0; ; 
202401 a 202412;8002515697;INTER RAPIDISIMO LTDA ; ;58,69;0;    45,054,204,222;182,403;3,2; ; 
202401 a 202412;8240002124;TRANSPORTADORES GANDUR NUMA S.A. T.G.N. S.A.; ;57,81;57,81;0;619,965;0; ; 
202401 a 202412;8002424271;COMPAÃ‘ÃA DE DISTRIBUCIÃ“N Y TRANSPORTE S.A.S BIC; ;54,649;2,562;    62,076,661,305;333,173;0; ; 
202401 a 202412;9011441653;COMPAÃ‘IA DE TRASNPORTE DE BEBIDAS S.A.S; ;53,958;0;    42,345,876,388;282,216;0; ; 
202401 a 202412;9001646878;TRANSPORTES CAMFRI S.A.; ;53,747;217;    40,763,286,967;300,312;0; ; 
202401 a 202412;8000903230;CONTINENTAL DE TRANSPORTES LTDA; ;53,013;0;    90,938,865,457;365,743;         4,263,687; ; 
202401 a 202412;8300115364;LAND FAST S.A.; ;52,003;0;0;50,353;0; ; 
202401 a 202412;8305061161;JLT TRANSPORTES LTDA; ;51,788;9,908;    23,635,050,263;272,048;0; ; 
202401 a 202412;8001473141;TRANSPORTADORA MERCANTIL DEL VALLE LTDA; ;51,352;0;    85,120,919,642;431,968;         3,594,736; ; 
202401 a 202412;8909047132;COORDINADORA MERCANTIL S.A.; ;50,717;46,146;     8,903,582,841;721,189;0; ; 
202401 a 202412;8000920242;TANQUES DEL NORDESTE SA; ;50,237;6,787;    99,472,578,813;754,176;37; ; 
202401 a 202412;8909044881;T.D.M.  TRANSPORTES  S.A.S; ;50,031;0;    46,560,893,014;669,571;0; ; 
202401 a 202412;8901031611;TRANSPORTES SANCHEZ POLO S.A. TSP S.A. OPERADORES LOGISTICOS; ;49,943;0;   124,716,127,303;631,787;0; ; 
202401 a 202412;8300048614;MCT S.A.S.; ;49,775;0;    84,483,562,416;398,578;0; ; 
202401 a 202412;9002981027;FL COLOMBIA; ;48,925;22,356;    15,367,406,604;833,552;0; ; 
202401 a 202412;8909009431;COLOMBIANA DE COMERCIO S.A. - CORBETA S.A. Y/O ALKOSTO S.A.; ;46,681;148;    53,957,996,477;191,422;27,647; ; 
202401 a 202412;8001052136;TRACTO CARGA S.A.S; ;46,29;31,951;    11,223,941,089;913,509;0; ; 
202401 a 202412;8300407095;COMERCIALIZADORA NACIONAL S.A.S; ;45,279;0;    33,183,389,741;118,715;0; ; 
202401 a 202412;9004168798;COMPAÃ‘IA NACIONAL DE CARGA ; ;43,694;130;   103,820,875,757;411,284;0; ; 
202401 a 202412;8001853064;COLVANES S.A.S.; ;41,831;0;       318,000,000;124,619;0; ; 
202401 a 202412;8090005550;DIANA AGRICOLA S.A.S; ;41,035;4,473;    74,106,689,890;704,514;0; ; 
202401 a 202412;9010511090;FERRICAR S.A.S.; ;40,661;0;    23,573,815,758;245,244;0; ; 
202401 a 202412;8301266596;TRANSPORTES ALVAREZ LTDA; ;40,087;38,716;     3,433,783,239;523;       180,399,698; ; 
202401 a 202412;8902009287;COOPERATIVA SANTANDEREANA DE TRANSPORTADORES LTDA; ;38,357;0;   138,015,137,828;423,292;       104,780,347; ; 
202401 a 202412;9002017979;TRANSPORTADORES ASOCIADOS DEL CARIBE S.A.; ;38,144;8,804;    72,871,274,774;         1,256,986;0; ; 
202401 a 202412;9004409994;TRANSQUIM S A S; ;37,791;6,494;    57,546,057,661;         1,056,418;127; ; 
202401 a 202412;8600625813;UNION ANDINA DE TRANSPORTES S.A.S; ;37,138;10,134;    50,611,497,308;451,519;0; ; 
202401 a 202412;8110378751;TRANSPORTES MEDELLIN QUIBDO CARGA SA; ;36,655;1,693;    24,127,078,702;132,856;0; ; 
202401 a 202412;9002400939;TRANSNACIONAL DE OCCIDENTE SAS; ;36,401;28,021;     4,503,043,850;382,666;3,191; ; 
202401 a 202412;8909068788;CARIBE DE TRANSPORTES S.A.S - CARITRANS; ;36,072;951;    37,584,829,134;193,476;8; ; 
202401 a 202412;8110168221;COORDINADORA DE TANQUES SAS; ;36,002;17,456;    14,351,572,400;213,74;       216,772,435; ; 
202401 a 202412;8130041471;TRANSPORTES DEL HUILA S.A.; ;35,49;3,446;   101,151,916,849;894,001;0; ; 
202401 a 202412;8903010674;TRANSPORTADORA LA PRENSA DEL VALLE LTDA; ;34,656;314;    21,760,248,050;120,568;0; ; 
202401 a 202412;8300963767;TRANSPORTES HUMADEA S.A.S; ;34,541;0;    71,176,079,124;306,232;         8,714,716; ; 
202401 a 202412;8902002193;COOPERATIVA DE TRANSPORTADORES DEL SUR; ;34,323;0;   139,197,715,513;437,46;       147,022,470; ; 
