Cód. Oficina,Nombre Oficina,Municipio,Departamento,Días de apertura,Dirección,Extension,Teléfono
1302,ABEJORRAL,Abejorral,Antioquia,MARTES A SABADO,Carrera 50 No.49-48/50,24107   41134   41213   41506,6013821400
5111,ABREGO,Abrego,Norte de Santander,LUNES A VIERNES,Calle 14 N° 5-60,27111   45097   45289   45308   45314   45334,6013821400
4503,ACACIAS,Acacías,Meta,LUNES A VIERNES,Carrera 17 No. 12 - 51,21740   42106   42166   42352   42550   42582   42626   42654   42713,6013821400
3301,ACANDI,Acandí,Chocó,LUNES A VIERNES,Calle Ppal.  Calle Las  Flores con Calle CONSISTORIAL,41068   24965   41233,6013821400
3901,ACEVEDO,Acevedo,Huila,MARTES A VIERNES Y      SÁBADO,Carrera 4 No 6 -19/25 Acevedo - Huila,49088   28685   49230   49236   49267   49366   49464   49640   49662,6013821400
1203,ACHI,Achí,Bolívar,LUNES A VIERNES,Carrera 7 No.11-27 Las Delicias Centro,25100   44027   44180   44491,6013821400
3902,AGRADO,Agrado,Huila,MARTES A VIERNES Y      SÁBADO,Carrera 4 No 5-16 Parque Central.,28909   49121   49567   49572,6013821400
3110,AGUA DE DIOS,Agua De Dios,Cundinamarca,LUNES A VIERNES,Carrera 9 No.14-02/08,21213   42033   42321   42426   42614,6013821400
2401,AGUACHICA,Aguachica,Cesar,LUNES A VIERNES,Calle 5 No. 22-33,27330   27331   45013   45124   45206   45213   45227   45249   45250   45258   45313   45328   45424   45466   45470   45471   45497,6013821400
1801,AGUADAS,Aguadas,Caldas,MARTES A SABADO,Calle 7 No. 5-20,26300   43067   43184   43236   43239   43279   43319,6013821400
8601,AGUAZUL,Aguazul,Casanare,LUNES A VIERNES,Carrera 18 No 9-31,25605   47108   47222   47344   47386   47484   47553,6013821400
3908,AIPE,Aipe,Huila,LUNES A VIERNES,Calle 5 CRA 4-12 ESQUINA,27997   49063   49235   49493,6013821400
7501,ALBANIA,Albania,Caquetá,LUNES A VIERNES,Carrera 4 No. 5 -56 parque Principal - Centro,28861   49056   49283   49327   49335   49468   49486   49587   49657,6013821400
6901,ALCALA,Alcalá,Valle del Cauca,MARTES A SABADO,Calle 5 No.9-27,43033   26490   43112   43115   43136,6013821400
1471,ALEJANDRIA,Alejandría,Antioquia,MARTES A SABADO,Calle 20 No.19-34/36,24348   41045   41429,6013821400
3903,ALGECIRAS,Algeciras,Huila,MARTES A VIERNES Y      SÁBADO,CARRERA 5 N° 6- 59 local 101,28686   49015   49162   49212   49371   49405   49424   49663,6013821400
2171,ALMAGUER,Almaguer,Cauca,MARTES A SABADO,Calle 4 No.4-56,46053   22370   46342,6013821400
6623,ALPUJARRA,Alpujarra,Tolima,MARTES A VIERNES Y      SÁBADO,"Carrera 5 Calle 5 Esquina - fente al Parque Principal ""Palacio Municipal""",25983   49083   49381,6013821400
3909,ALTAMIRA,Altamira,Huila,MARTES A VIERNES Y      SÁBADO,"Calle 4 solar, hoy calle 6 sin nomenclatura",28918   49092   49231,6013821400
1334,ALTAMIRA (Corregimiento del municipio de Betulia - Antioquia),Betulia,Antioquia,MARTES A SABADO,Calle 10 No. 8-02 Local 201,24117   41095   41219   41321   41515   41620,6013821400
6605,ALVARADO,Alvarado,Tolima,MARTES A VIERNES Y      SÁBADO,Calle 3 No 3-18/22/24 Barrio Centro,49080   25834   49173   49584,6013821400
1350,AMAGA,Amagá,Antioquia,MARTES A SABADO,CALLE 50 N° 51 – 15,24460   41156   41241   41418   41488   41526   41677   41723,6013821400
3106,ANAPOIMA,Anapoima,Cundinamarca,LUNES A VIERNES,Calle 8 No. 2-14,21200   42105   42192   42464   42693,6013821400
4811,ANCUYA,Ancuyá,Nariño,MARTES A SABADO,Calle 2 No.3-59 Palacio Municipal,22189   46113   46561   46584,6013821400
1301,ANDES,Andes,Antioquia,MARTES A SABADO,CARRERA 51 N° 48-40,24504   41111   41234   41275   41447   41507   41613   41675   41690,6013821400
1309,ANGELOPOLIS,Angelópolis,Antioquia,MARTES A SABADO,Calle 11 No. 11 - 43/45,24109   41059   41349,6013821400
